Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
1170,-25,479,0,0
1135,-25,461,0,0
1100,-25,443,0,0
1065,-25,425,0,0
1030,-25,407,0,0
1005,-25,389,0,0
980,-25,371,0,0
955,-25,353,0,0
930,-25,335,0,0
905,-25,317,0,0
880,-25,299,0,0
855,-25,281,0,0
830,-25,263,0,0
805,-25,245,0,0
780,-25,227,0,0
755,-25,209,0,0
730,-25,191,0,0
715,-25,173,0,1
700,-25,155,0,1
685,-25,137,0,1
670,-25,119,0,1
655,-25,101,0,1
640,-25,83,0,1
625,-25,65,0,1
610,-25,47,0,1
595,-25,29,0,1
580,-25,11,0,1
565,-25,7,0,1
550,-25,25,0,1
515,-25,43,0,1
480,-25,61,0,1
445,-25,79,0,1
410,-25,97,0,1
375,-25,115,0,1
340,-25,605,0,0
305,-25,587,0,0
270,-25,569,0,0
235,-25,551,0,0
200,-25,533,0,0
165,-25,515,0,0
135,-25,477,1,0
105,-25,442,1,0
80,-25,409,1,0
55,-25,379,1,0
30,-25,351,1,0
5,-25,326,1,0
20,-25,303,1,0
45,-25,283,1,0
70,-25,265,1,0
1280,-25,250,0,0
1258,-22,237,0,0
1236,-22,227,0,0
1214,-22,219,0,0
1192,-22,214,0,0
1170,-22,211,0,0
1148,-22,211,0,0
1126,-22,209,0,0
1114,-22,191,0,1
1102,-22,173,0,1
1090,-22,155,0,1
1078,-22,137,0,1
1066,-22,119,0,1
1054,-22,101,0,1
1042,-22,83,0,1
1030,-22,65,0,1
1018,-22,47,0,1
1006,-22,29,0,1
994,-22,11,0,1
982,-22,7,0,1
950,-22,25,0,1
918,-22,43,0,1
886,-22,61,0,1
854,-22,79,0,1
822,-22,97,0,1
790,-22,115,0,1
758,-22,605,0,0
726,-22,587,0,0
694,-22,569,0,0
662,-22,551,0,0
630,-22,533,0,0
598,-22,515,0,0
576,-22,497,0,0
554,-22,479,0,0
532,-22,461,0,0
510,-22,443,0,0
488,-22,425,0,0
466,-22,407,0,0
444,-22,389,0,0
422,-22,371,0,0
400,-22,353,0,0
378,-22,335,0,0
356,-22,317,0,0
334,-22,299,0,0
312,-22,281,0,0
300,-22,263,0,1
288,-22,245,0,1
276,-22,227,0,1
264,-22,209,0,1
252,-22,191,0,1
240,-22,173,0,1
228,-22,155,0,1
216,-22,137,0,1
204,-22,119,0,1
192,-22,81,1,1
180,-22,46,1,1
168,-22,13,1,1
141,-22,17,1,1
114,-22,45,1,1
87,-22,70,1,1
60,-22,93,1,1
33,-22,113,1,1
6,-22,131,1,1
1365,-22,146,0,1
1336,-24,159,0,1
1307,-24,169,0,1
1278,-24,177,0,1
1249,-24,556,0,0
1220,-24,553,0,0
1191,-24,553,0,0
1157,-24,551,0,0
1123,-24,533,0,0
